GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
FinFlow Backend,com.finflow.modules.profiles.mapper,UserProfileMapperImpl,3,0,0,0,1,0,1,0,1,0
FinFlow Backend,com.finflow.modules.profiles.mapper,UserProfileMapper,62,0,10,0,16,0,6,0,1,0
FinFlow Backend,com.finflow.modules.auth.domain,Role,6,42,0,0,2,13,2,4,2,4
FinFlow Backend,com.finflow.modules.auth.domain,UserCredential,27,33,0,0,9,11,6,4,6,4
FinFlow Backend,com.finflow.modules.auth.domain,UserRole,9,21,0,0,3,8,3,3,3,3
FinFlow Backend,com.finflow.modules.auth.domain,LoginHistory,104,3,10,0,25,1,19,1,14,1
FinFlow Backend,com.finflow.modules.auth.domain,UserStatus,0,27,0,0,0,5,0,1,0,1
FinFlow Backend,com.finflow.modules.auth.domain,User,149,86,16,0,40,21,27,3,19,3
FinFlow Backend,com.finflow.modules.auth.domain,CredentialType,0,21,0,0,0,4,0,1,0,1
FinFlow Backend,com.finflow.modules.auth.domain,LoginHistory.FailureReason,3,46,0,0,1,9,1,2,1,2
FinFlow Backend,com.finflow.modules.auth.domain,RefreshToken,89,61,15,1,19,20,21,6,13,6
FinFlow Backend,com.finflow.modules.accounts.validator,HoldValidator,47,0,4,0,11,0,7,0,5,0
FinFlow Backend,com.finflow.modules.accounts.validator,AccountValidator,138,0,29,0,27,0,22,0,6,0
FinFlow Backend,com.finflow.modules.transfers.service,TransferService,97,330,10,14,9,64,17,14,7,12
FinFlow Backend,com.finflow.modules.transfers.dto,UpdateTemplateRequest,0,24,0,0,0,1,0,1,0,1
FinFlow Backend,com.finflow.modules.transfers.dto,CreateScheduledTransferRequest,0,39,0,0,0,1,0,1,0,1
FinFlow Backend,com.finflow.modules.transfers.dto,ScheduledTransferResponse,54,0,0,0,1,0,1,0,1,0
FinFlow Backend,com.finflow.modules.transfers.dto,CreateTemplateRequest,0,24,0,0,0,1,0,1,0,1
FinFlow Backend,com.finflow.modules.transfers.dto,TemplateResponse,33,0,0,0,1,0,1,0,1,0
FinFlow Backend,com.finflow.modules.settings.mapper,SettingMapper,44,3,6,0,8,1,6,1,3,1
FinFlow Backend,com.finflow.modules.settings.dto,UpdateSettingRequest,0,6,0,0,0,1,0,1,0,1
FinFlow Backend,com.finflow.modules.settings.dto,SettingResponse,18,0,0,0,1,0,1,0,1,0
FinFlow Backend,com.finflow.modules.settings.dto,BulkUpdateSettingsRequest,0,6,0,0,0,1,0,1,0,1
FinFlow Backend,com.finflow.modules.settings.controller,SettingController,72,0,0,0,19,0,7,0,7,0
FinFlow Backend,com.finflow.modules.cards.mapper,CardMapper,83,0,8,0,27,0,7,0,3,0
FinFlow Backend,com.finflow.shared.domain,BaseSoftDeletableEntity,20,18,0,0,7,7,4,2,4,2
FinFlow Backend,com.finflow.shared.domain,BaseEntity,40,26,10,0,7,11,9,5,4,5
FinFlow Backend,com.finflow.shared.domain,BaseEntityListener,21,0,4,0,7,0,5,0,3,0
FinFlow Backend,com.finflow.shared.domain,BaseAuditableEntity,6,3,0,0,2,1,2,1,2,1
FinFlow Backend,com.finflow.modules.notifications.controller,NotificationController,66,0,0,0,16,0,8,0,8,0
FinFlow Backend,com.finflow.modules.notifications.mapper,NotificationMapper,53,3,2,0,18,1,5,1,4,1
FinFlow Backend,com.finflow.modules.savings.controller,SavingsGoalController,76,0,0,0,13,0,9,0,9,0
FinFlow Backend,com.finflow.modules.profiles.controller,UserProfileController,31,0,0,0,9,0,4,0,4,0
FinFlow Backend,com.finflow.modules.profiles.domain,UserProfile.UpdateProfileData,0,33,0,0,0,1,0,1,0,1
FinFlow Backend,com.finflow.modules.profiles.domain,UserProfile,65,88,0,20,19,17,19,15,19,5
FinFlow Backend,com.finflow.modules.admin.dto,UserManagementResponse,21,0,0,0,1,0,1,0,1,0
FinFlow Backend,com.finflow.modules.admin.dto,AuditLogResponse,0,27,0,0,0,1,0,1,0,1
FinFlow Backend,com.finflow.modules.admin.dto,AdminDashboardResponse,0,15,0,0,0,1,0,1,0,1
FinFlow Backend,com.finflow.modules.beneficiaries.controller,BeneficiaryController,88,0,0,0,19,0,8,0,8,0
FinFlow Backend,com.finflow.shared.exception,ValidationException,0,21,0,0,0,7,0,3,0,3
FinFlow Backend,com.finflow.shared.exception,ErrorResponse,0,31,0,0,0,2,0,2,0,2
FinFlow Backend,com.finflow.shared.exception,ForbiddenException,11,0,0,0,3,0,2,0,2,0
FinFlow Backend,com.finflow.shared.exception,UnauthorizedException,21,0,0,0,5,0,4,0,4,0
FinFlow Backend,com.finflow.shared.exception,ValidationException.FieldError,0,12,0,0,0,1,0,1,0,1
FinFlow Backend,com.finflow.shared.exception,ResourceNotFoundException,6,18,0,0,2,3,1,1,1,1
FinFlow Backend,com.finflow.shared.exception,GlobalExceptionHandler,41,121,3,1,9,32,3,6,1,6
FinFlow Backend,com.finflow.shared.exception,BusinessRuleException,33,18,0,0,6,4,5,3,5,3
FinFlow Backend,com.finflow.shared.exception,ErrorResponse.Builder,5,52,0,0,1,8,1,8,1,8
FinFlow Backend,com.finflow.shared.exception,ExternalServiceException,46,0,0,0,8,0,5,0,5,0
FinFlow Backend,com.finflow.shared.exception,ErrorResponse.FieldErrorDetail,0,12,0,0,0,1,0,1,0,1
FinFlow Backend,com.finflow.shared.exception,FinFlowException,3,41,0,0,1,13,1,6,1,6
FinFlow Backend,com.finflow.shared.exception,ConflictException,29,0,0,0,5,0,3,0,3,0
FinFlow Backend,com.finflow.modules.savings.domain,SavingsGoalStatus,0,27,0,0,0,5,0,1,0,1
FinFlow Backend,com.finflow.modules.savings.domain,SavingsGoal,46,164,6,14,10,38,15,16,9,12
FinFlow Backend,com.finflow.modules.notifications.service,NotificationService,44,160,1,1,6,34,2,11,1,11
FinFlow Backend,com.finflow.shared.util,SecurityUtil,32,35,9,3,7,9,10,5,4,5
FinFlow Backend,com.finflow.shared.util,CurrencyConverterUtil,66,0,0,0,8,0,3,0,3,0
FinFlow Backend,com.finflow.shared.util,MoneyUtil,90,0,18,0,19,0,17,0,8,0
FinFlow Backend,com.finflow.shared.util,DateUtil,49,0,14,0,5,0,12,0,5,0
FinFlow Backend,com.finflow.shared.util,MaskUtil,156,0,22,0,20,0,16,0,5,0
FinFlow Backend,com.finflow.modules.accounts.service,AccountService,207,398,19,8,44,84,18,11,5,9
FinFlow Backend,com.finflow.modules.transactions.domain,Transaction,137,89,16,2,32,27,35,12,26,12
FinFlow Backend,com.finflow.modules.transactions.domain,TransactionType,0,33,0,0,0,6,0,1,0,1
FinFlow Backend,com.finflow.modules.transactions.domain,EntryType,0,15,0,0,0,3,0,1,0,1
FinFlow Backend,com.finflow.modules.transactions.domain,TransactionEntry,52,31,0,0,15,11,15,3,15,3
FinFlow Backend,com.finflow.modules.transactions.domain,TransactionStatus,0,27,0,0,0,5,0,1,0,1
FinFlow Backend,com.finflow.modules.auth.mapper,UserMapperImpl,53,0,4,0,18,0,4,0,2,0
FinFlow Backend,com.finflow.modules.cards.service,CardService,84,205,9,5,8,39,12,10,6,9
FinFlow Backend,com.finflow.modules.accounts.domain,AccountType,0,27,0,0,0,5,0,1,0,1
FinFlow Backend,com.finflow.modules.accounts.domain,AccountStatusHistory,21,24,0,0,7,9,7,2,7,2
FinFlow Backend,com.finflow.modules.accounts.domain,AccountStatus,0,33,0,0,0,6,0,1,0,1
FinFlow Backend,com.finflow.modules.accounts.domain,OwnershipType,0,21,0,0,0,4,0,1,0,1
FinFlow Backend,com.finflow.modules.accounts.domain,Account,76,249,12,18,18,59,19,22,10,16
FinFlow Backend,com.finflow.modules.accounts.domain,AccountHolder,10,24,1,1,3,7,4,2,3,2
